obj#,nonMCost,sCost,rCost,wCost,cCost,tCost,mCost,locationt=0  
j=0,5026800232200,5026800000000,0,0,86000,146200,0,1
j=1,7270401296000,7270400000000,0,0,480000,816000,0,1
j=2,3805600078300,3805600000000,0,0,29000,49300,0,1
j=3,25986001773900,25986000000000,0,0,657000,1116900,0,1
j=4,76538002432700,76538000000000,0,0,901000,1531700,0,1
j=5,15506401026000,15506400000000,0,0,380000,646000,0,1
j=6,39532814723100,39532800000000,0,0,5453000,9270100,0,1
j=7,65320001368900,65320000000000,0,0,507000,861900,0,1
j=8,23174401323000,23174400000000,0,0,490000,833000,0,1
j=9,8520000523800,8520000000000,0,0,194000,329800,0,1
j=10,8520000162000,8520000000000,0,0,60000,102000,0,1
j=11,7270400607500,7270400000000,0,0,225000,382500,0,1
j=12,57424801401300,57424800000000,0,0,519000,882300,0,1
j=13,2641200054000,2641200000000,0,0,20000,34000,0,1
j=14,17778400704700,17778400000000,0,0,261000,443700,0,1
j=15,14654400283500,14654400000000,0,0,105000,178500,0,1
j=16,29394000504900,29394000000000,0,0,187000,317900,0,1
j=17,48762801795500,48762800000000,0,0,665000,1130500,0,1
j=18,108857205570100,108857200000000,0,0,2063000,3507100,0,1
j=19,126096004071600,126096000000000,0,0,1508000,2563600,0,1
j=20,65831203977100,65831200000000,0,0,1473000,2504100,0,1
j=21,33370004533300,33370000000000,0,0,1679000,2854300,0,1
j=22,17778400394200,17778400000000,0,0,146000,248200,0,1
j=23,48762803726000,48762800000000,0,0,1380000,2346000,0,1
j=24,49813620101500,49813600000000,0,0,7445000,12656500,0,1
j=25,1931200307800,1931200000000,0,0,114000,193800,0,1
j=26,81110401830600,81110400000000,0,0,678000,1152600,0,1
j=27,3805600121500,3805600000000,0,0,45000,76500,0,1
j=28,2641200086400,2641200000000,0,0,32000,54400,0,1
j=29,48762801061100,48762800000000,0,0,393000,668100,0,1
j=30,54868803634200,54868800000000,0,0,1346000,2288200,0,1
j=31,35386403323700,35386400000000,0,0,1231000,2092700,0,1
j=32,65320002106000,65320000000000,0,0,780000,1326000,0,1
j=33,1931200126900,1931200000000,0,0,47000,79900,0,1
j=34,10536400359100,10536400000000,0,0,133000,226100,0,1
j=35,237367568641800,237367200000000,0,0,136534000,232107800,0,1
j=36,20362802284200,20362800000000,0,0,846000,1438200,0,1
j=37,44957204174200,44957200000000,0,0,1546000,2628200,0,1
j=38,2641200151200,2641200000000,0,0,56000,95200,0,1
j=39,137995898304100,137995600000000,0,0,110483000,187821100,0,1
j=40,85285213491900,85285200000000,0,0,4997000,8494900,0,1
j=41,63133393797900,63133200000000,0,0,71777000,122020900,0,1
j=42,14654400899100,14654400000000,0,0,333000,566100,0,1
j=43,63104803801600,63104800000000,0,0,1408000,2393600,0,1
j=44,3237600402300,3237600000000,0,0,149000,253300,0,1
j=45,76538018351900,76538000000000,0,0,6797000,11554900,0,1
j=46,31211607403400,31211600000000,0,0,2742000,4661400,0,1
j=47,8520000232200,8520000000000,0,0,86000,146200,0,1
j=48,20362800394200,20362800000000,0,0,146000,248200,0,1
j=49,41606001344600,41606000000000,0,0,498000,846600,0,1
j=50,19681201252800,19681200000000,0,0,464000,788800,0,1
j=51,54868801455300,54868800000000,0,0,539000,916300,0,1
j=52,7469200218700,7469200000000,0,0,81000,137700,0,1
j=53,5026800210600,5026800000000,0,0,78000,132600,0,1
j=54,1931200037800,1931200000000,0,0,14000,23800,0,1
j=55,35386400731700,35386400000000,0,0,271000,460700,0,1
j=56,116269609050400,116269600000000,0,0,3352000,5698400,0,1
j=57,2641200059400,2641200000000,0,0,22000,37400,0,1
j=58,44559600864000,44559600000000,0,0,320000,544000,0,1
j=59,5026800189000,5026800000000,0,0,70000,119000,0,1
j=60,63388802116800,63388800000000,0,0,784000,1332800,0,1
j=61,29394002100600,29394000000000,0,0,778000,1322600,0,1
j=62,19681229600100,19681200000000,0,0,10963000,18637100,0,1
j=63,3805600467100,3805600000000,0,0,173000,294100,0,1
j=64,92840337367300,92839600000000,0,0,273099000,464268300,0,1
j=65,19681211402100,19681200000000,0,0,4223000,7179100,0,1
j=66,3237600186300,3237600000000,0,0,69000,117300,0,1
j=67,105875208459100,105875200000000,0,0,3133000,5326100,0,1
j=68,3805601536300,3805600000000,0,0,569000,967300,0,1
j=69,23174404290300,23174400000000,0,0,1589000,2701300,0,1
j=70,14654400205200,14654400000000,0,0,76000,129200,0,1
j=71,35386403888000,35386400000000,0,0,1440000,2448000,0,1
j=72,78923601541700,78923600000000,0,0,571000,970700,0,1
j=73,8520000677700,8520000000000,0,0,251000,426700,0,1
j=74,24935200891000,24935200000000,0,0,330000,561000,0,1
j=75,10536401231200,10536400000000,0,0,456000,775200,0,1
j=76,1931200083700,1931200000000,0,0,31000,52700,0,1
j=77,45979601007100,45979600000000,0,0,373000,634100,0,1
j=78,33370000650700,33370000000000,0,0,241000,409700,0,1
j=79,3805600108000,3805600000000,0,0,40000,68000,0,1
j=80,15506400648000,15506400000000,0,0,240000,408000,0,1
j=81,38027601725300,38027600000000,0,0,639000,1086300,0,1
j=82,52341201436400,52341200000000,0,0,532000,904400,0,1
j=83,7270400877500,7270400000000,0,0,325000,552500,0,1
j=84,7469200526500,7469200000000,0,0,195000,331500,0,1
j=85,29394094019400,29394000000000,0,0,34822000,59197400,0,1
j=86,60634002070900,60634000000000,0,0,767000,1303900,0,1
j=87,3805600167400,3805600000000,0,0,62000,105400,0,1
j=88,25986001895400,25986000000000,0,0,702000,1193400,0,1
j=89,70176405667300,70176400000000,0,0,2099000,3568300,0,1
j=90,12268800569700,12268800000000,0,0,211000,358700,0,1
j=91,3237622577400,3237600000000,0,0,8362000,14215400,0,1
j=92,33370002205900,33370000000000,0,0,817000,1388900,0,1
j=93,41748001185300,41748000000000,0,0,439000,746300,0,1
j=94,15506401414800,15506400000000,0,0,524000,890800,0,1
j=95,14654402729700,14654400000000,0,0,1011000,1718700,0,1
j=96,1931200035100,1931200000000,0,0,13000,22100,0,1
j=97,19681210403100,19681200000000,0,0,3853000,6550100,0,1
j=98,20362802195100,20362800000000,0,0,813000,1382100,0,1
j=99,20362800577800,20362800000000,0,0,214000,363800,0,1
j=100,1931200029700,1931200000000,0,0,11000,18700,0,1
j=101,19681201973700,19681200000000,0,0,731000,1242700,0,1
j=102,523299353410500,523298400000000,0,0,353115000,600295500,0,1
j=103,1931200054000,1931200000000,0,0,20000,34000,0,1
j=104,24935200882900,24935200000000,0,0,327000,555900,0,1
j=105,240576407052400,240576400000000,0,0,2612000,4440400,0,1
j=106,25986000639900,25986000000000,0,0,237000,402900,0,1
j=107,17778402451600,17778400000000,0,0,908000,1543600,0,1
j=108,12268800445500,12268800000000,0,0,165000,280500,0,1
j=109,1931200029700,1931200000000,0,0,11000,18700,0,1
j=110,19681200810000,19681200000000,0,0,300000,510000,0,1
j=111,7469200294300,7469200000000,0,0,109000,185300,0,1
j=112,60293201863000,60293200000000,0,0,690000,1173000,0,1
j=113,240491214261400,240491200000000,0,0,5282000,8979400,0,1
j=114,343583214193900,343583200000000,0,0,5257000,8936900,0,1
j=115,15506405535000,15506400000000,0,0,2050000,3485000,0,1
j=116,3805600248400,3805600000000,0,0,92000,156400,0,1
j=117,38254803164400,38254800000000,0,0,1172000,1992400,0,1
j=118,45979601258200,45979600000000,0,0,466000,792200,0,1
j=119,484560832775300,484560800000000,0,0,12139000,20636300,0,1
j=120,14654400766800,14654400000000,0,0,284000,482800,0,1
j=121,10536400402300,10536400000000,0,0,149000,253300,0,1
j=122,45979605869800,45979600000000,0,0,2174000,3695800,0,1
j=123,7270400672300,7270400000000,0,0,249000,423300,0,1
j=124,3805600172800,3805600000000,0,0,64000,108800,0,1
j=125,2641203758400,2641200000000,0,0,1392000,2366400,0,1
j=126,36124800623700,36124800000000,0,0,231000,392700,0,1
j=127,44559602745900,44559600000000,0,0,1017000,1728900,0,1
j=128,3805600294300,3805600000000,0,0,109000,185300,0,1
j=129,20362800696600,20362800000000,0,0,258000,438600,0,1
j=130,1931200167400,1931200000000,0,0,62000,105400,0,1
j=131,158642415541200,158642400000000,0,0,5756000,9785200,0,1
j=132,38027600961200,38027600000000,0,0,356000,605200,0,1
j=133,5026800305100,5026800000000,0,0,113000,192100,0,1
j=134,3237601071900,3237600000000,0,0,397000,674900,0,1
j=135,41606001260900,41606000000000,0,0,467000,793900,0,1
j=136,38027602897100,38027600000000,0,0,1073000,1824100,0,1
j=137,7270400183600,7270400000000,0,0,68000,115600,0,1
j=138,38027601242000,38027600000000,0,0,460000,782000,0,1
j=139,14654400545400,14654400000000,0,0,202000,343400,0,1
j=140,41748002899800,41748000000000,0,0,1074000,1825800,0,1
j=141,65320001236600,65320000000000,0,0,458000,778600,0,1
j=142,29394008461800,29394000000000,0,0,3134000,5327800,0,1
j=143,68103203944700,68103200000000,0,0,1461000,2483700,0,1
j=144,46292003739500,46292000000000,0,0,1385000,2354500,0,1
j=145,41748000710100,41748000000000,0,0,263000,447100,0,1
j=146,39532801590300,39532800000000,0,0,589000,1001300,0,1
j=147,63105077686900,63104800000000,0,0,102847000,174839900,0,1
j=148,7270400243000,7270400000000,0,0,90000,153000,0,1
j=149,3805600310500,3805600000000,0,0,115000,195500,0,1
j=150,8520000145800,8520000000000,0,0,54000,91800,0,1
j=151,3237600064800,3237600000000,0,0,24000,40800,0,1
j=152,14654400712800,14654400000000,0,0,264000,448800,0,1
j=153,23174400675000,23174400000000,0,0,250000,425000,0,1
j=154,245035204911300,245035200000000,0,0,1819000,3092300,0,1
j=155,137995609506700,137995600000000,0,0,3521000,5985700,0,1
j=156,83297202516400,83297200000000,0,0,932000,1584400,0,1
j=157,3805600240300,3805600000000,0,0,89000,151300,0,1
j=158,25986001012500,25986000000000,0,0,375000,637500,0,1
j=159,57424806833700,57424800000000,0,0,2531000,4302700,0,1
j=160,49813601323000,49813600000000,0,0,490000,833000,0,1
j=161,2641200232200,2641200000000,0,0,86000,146200,0,1
j=162,38027601347300,38027600000000,0,0,499000,848300,0,1
j=163,73840004932900,73840000000000,0,0,1827000,3105900,0,1
j=164,27604800864000,27604800000000,0,0,320000,544000,0,1
j=165,8520000610200,8520000000000,0,0,226000,384200,0,1
j=166,2641200070200,2641200000000,0,0,26000,44200,0,1
j=167,24935201879200,24935200000000,0,0,696000,1183200,0,1
j=168,33881201827900,33881200000000,0,0,677000,1150900,0,1
j=169,8520000305100,8520000000000,0,0,113000,192100,0,1
j=170,95111603345300,95111600000000,0,0,1239000,2106300,0,1
j=171,1931200051300,1931200000000,0,0,19000,32300,0,1
j=172,1931200024300,1931200000000,0,0,9000,15300,0,1
j=173,46292005313600,46292000000000,0,0,1968000,3345600,0,1
j=174,210444004787100,210444000000000,0,0,1773000,3014100,0,1
j=175,29394000912600,29394000000000,0,0,338000,574600,0,1
j=176,8520000440100,8520000000000,0,0,163000,277100,0,1
j=177,48762801501200,48762800000000,0,0,556000,945200,0,1
j=178,46292002446200,46292000000000,0,0,906000,1540200,0,1
j=179,272696824051600,272696800000000,0,0,8908000,15143600,0,1
j=180,14654400251100,14654400000000,0,0,93000,158100,0,1
j=181,23174400375300,23174400000000,0,0,139000,236300,0,1
j=182,10536400353700,10536400000000,0,0,131000,222700,0,1
j=183,44957203607200,44957200000000,0,0,1336000,2271200,0,1
j=184,57765605921100,57765600000000,0,0,2193000,3728100,0,1
j=185,10536400307800,10536400000000,0,0,114000,193800,0,1
j=186,25986000388800,25986000000000,0,0,144000,244800,0,1
j=187,7270400440100,7270400000000,0,0,163000,277100,0,1
j=188,57765604260600,57765600000000,0,0,1578000,2682600,0,1
j=189,63388803323700,63388800000000,0,0,1231000,2092700,0,1
j=190,31211601034100,31211600000000,0,0,383000,651100,0,1
j=191,17778400888300,17778400000000,0,0,329000,559300,0,1
j=192,35386401398600,35386400000000,0,0,518000,880600,0,1
j=193,245035214153400,245035200000000,0,0,5242000,8911400,0,1
j=194,19681200345600,19681200000000,0,0,128000,217600,0,1
j=195,5026806312600,5026800000000,0,0,2338000,3974600,0,1
j=196,60634001895400,60634000000000,0,0,702000,1193400,0,1
j=197,41748010673100,41748000000000,0,0,3953000,6720100,0,1
j=198,44559601471500,44559600000000,0,0,545000,926500,0,1
j=199,1931200043200,1931200000000,0,0,16000,27200,0,1
j=200,24935201719900,24935200000000,0,0,637000,1082900,0,1
j=201,36124802797200,36124800000000,0,0,1036000,1761200,0,1
j=202,19681201101600,19681200000000,0,0,408000,693600,0,1
j=203,44559602324700,44559600000000,0,0,861000,1463700,0,1
j=204,1931200035100,1931200000000,0,0,13000,22100,0,1
j=205,35386401201500,35386400000000,0,0,445000,756500,0,1
j=206,2641200070200,2641200000000,0,0,26000,44200,0,1
j=207,1931200172800,1931200000000,0,0,64000,108800,0,1
j=208,2641200094500,2641200000000,0,0,35000,59500,0,1
j=209,31211600982800,31211600000000,0,0,364000,618800,0,1
j=210,23174400394200,23174400000000,0,0,146000,248200,0,1
j=211,23174401579500,23174400000000,0,0,585000,994500,0,1
j=212,10536400359100,10536400000000,0,0,133000,226100,0,1
j=213,63133203504600,63133200000000,0,0,1298000,2206600,0,1
j=214,3237600118800,3237600000000,0,0,44000,74800,0,1
j=215,14654400718200,14654400000000,0,0,266000,452200,0,1
j=216,60861208197200,60861200000000,0,0,3036000,5161200,0,1
j=217,238361207668000,238361200000000,0,0,2840000,4828000,0,1
j=218,5026801107000,5026800000000,0,0,410000,697000,0,1
j=219,2641200170100,2641200000000,0,0,63000,107100,0,1
j=220,35386402111400,35386400000000,0,0,782000,1329400,0,1
j=221,7270400116100,7270400000000,0,0,43000,73100,0,1
j=222,8520000423900,8520000000000,0,0,157000,266900,0,1
j=223,1931200059400,1931200000000,0,0,22000,37400,0,1
j=224,19681222472100,19681200000000,0,0,8323000,14149100,0,1
j=225,1931200072900,1931200000000,0,0,27000,45900,0,1
j=226,19681202610900,19681200000000,0,0,967000,1643900,0,1
j=227,3805600245700,3805600000000,0,0,91000,154700,0,1
j=228,90283606280200,90283600000000,0,0,2326000,3954200,0,1
j=229,5026800556200,5026800000000,0,0,206000,350200,0,1
j=230,1931200029700,1931200000000,0,0,11000,18700,0,1
j=231,3805600423900,3805600000000,0,0,157000,266900,0,1
j=232,46292005027400,46292000000000,0,0,1862000,3165400,0,1
j=233,27604801501200,27604800000000,0,0,556000,945200,0,1
j=234,85285201830600,85285200000000,0,0,678000,1152600,0,1
j=235,36124804608900,36124800000000,0,0,1707000,2901900,0,1
j=236,243274406585300,243274400000000,0,0,2439000,4146300,0,1
j=237,268351605305500,268351600000000,0,0,1965000,3340500,0,1
j=238,1931203947400,1931200000000,0,0,1462000,2485400,0,1
j=239,95111604884300,95111600000000,0,0,1809000,3075300,0,1
j=240,2641200261900,2641200000000,0,0,97000,164900,0,1
j=241,44957201741500,44957200000000,0,0,645000,1096500,0,1
j=242,290588804684500,290588800000000,0,0,1735000,2949500,0,1
