obj#,nonMCost,sCost,rCost,wCost,cCost,tCost,mCost,locationt=0  
j=0,228000000000,228000000000,0,0,0,0,0,0
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,13307200013520,13307200000000,0,0,4000,9520,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,19897100093390,19897100000000,0,0,33000,60390,0,1
j=5,2928000000000,2928000000000,0,0,0,0,0,0
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,10548000002700,10548000000000,0,0,1000,1700,0,1
j=8,4857000000000,4857000000000,0,0,0,0,0,0
j=9,16061500003105,16061500000000,0,0,1150,1955,0,1
j=10,8771800011480,8771800000000,0,0,4000,7480,0,1
j=11,23233400002700,23233400000000,0,0,1000,1700,0,1
j=12,13237000024320,13237000000000,0,0,8000,16320,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,1830000000000,1830000000000,0,0,0,0,0,0

t=1  
j=0,228000000000,228000000000,0,0,0,0,0,0
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,56240800013520,56240800000000,0,0,4000,9520,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,295887500113200,295887500000000,0,0,40000,73200,0,1
j=5,2928000000000,2928000000000,0,0,0,0,0,0
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,25236000002700,25236000000000,0,0,1000,1700,0,1
j=8,4857000000000,4857000000000,0,0,0,0,0,0
j=9,29321500003105,29321500000000,0,0,1150,1955,0,1
j=10,37072600011480,37072600000000,0,0,4000,7480,0,1
j=11,39063800002700,39063800000000,0,0,1000,1700,0,1
j=12,69037000027360,69037000000000,0,0,9000,18360,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,1830000000000,1830000000000,0,0,0,0,0,0

t=2  
j=0,228000000000,228000000000,0,0,0,0,0,0
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,99174400016900,99174400000000,0,0,5000,11900,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,627111500118860,627111500000000,0,0,42000,76860,0,1
j=5,2928000000000,2928000000000,0,0,0,0,0,0
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,39924000002700,39924000000000,0,0,1000,1700,0,1
j=8,4857000000000,4857000000000,0,0,0,0,0,0
j=9,42581500003105,42581500000000,0,0,1150,1955,0,1
j=10,65373400017220,65373400000000,0,0,6000,11220,0,1
j=11,54894200002700,54894200000000,0,0,1000,1700,0,1
j=12,138043000030400,138043000000000,0,0,10000,20400,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,1830000000000,1830000000000,0,0,0,0,0,0

t=3  
j=0,228000000000,228000000000,0,0,0,0,0,0
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,155885200013520,155885200000000,0,0,4000,9520,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,973609100144330,973609100000000,0,0,51000,93330,0,1
j=5,7320000002700,7320000000000,0,0,1000,1700,9210000000000,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,54612000005400,54612000000000,0,0,2000,3400,0,1
j=8,11333000002870,11333000000000,0,0,1000,1870,16255000000000,1
j=9,55841500006210,55841500000000,0,0,2300,3910,0,1
j=10,117117400022960,117117400000000,0,0,8000,14960,0,1
j=11,70724600005400,70724600000000,0,0,2000,3400,0,1
j=12,218395000054720,218395000000000,0,0,18000,36720,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,1830000000000,1830000000000,0,0,0,0,0,0

t=4  
j=0,228000000000,228000000000,0,0,0,0,0,0
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,198818800020280,198818800000000,0,0,6000,14280,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,1394698700203760,1394698700000000,0,0,72000,131760,0,1
j=5,23640000005400,23640000000000,0,0,2000,3400,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,74700000002700,74700000000000,0,0,1000,1700,0,1
j=8,25613000005740,25613000000000,0,0,2000,3740,0,1
j=9,73976500003105,73976500000000,0,0,1150,1955,0,1
j=10,202864600037310,202864600000000,0,0,13000,24310,0,1
j=11,92375000002700,92375000000000,0,0,1000,1700,0,1
j=12,388585000039520,388585000000000,0,0,13000,26520,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,5197200002700,5197200000000,0,0,1000,1700,9210000000000,1

t=5  
j=0,228000000000,228000000000,0,0,0,0,0,0
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,280841200016900,280841200000000,0,0,5000,11900,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,1967813900237720,1967813900000000,0,0,84000,153720,0,1
j=5,45960000002700,45960000000000,0,0,1000,1700,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,89388000002700,89388000000000,0,0,1000,1700,0,1
j=8,45143000002870,45143000000000,0,0,1000,1870,0,1
j=9,87236500003105,87236500000000,0,0,1150,1955,0,1
j=10,330218200031570,330218200000000,0,0,11000,20570,0,1
j=11,108205400002700,108205400000000,0,0,1000,1700,0,1
j=12,505021000036480,505021000000000,0,0,12000,24480,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,16784400005400,16784400000000,0,0,2000,3400,0,1

t=6  
j=0,228000000000,228000000000,0,0,0,0,0,0
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,337552000020280,337552000000000,0,0,6000,14280,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,2658677900291490,2658677900000000,0,0,103000,188490,0,1
j=5,62280000010800,62280000000000,0,0,4000,6800,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,104076000002700,104076000000000,0,0,1000,1700,0,1
j=8,59423000011480,59423000000000,0,0,4000,7480,0,1
j=9,100496500003105,100496500000000,0,0,1150,1955,0,1
j=10,444688600057400,444688600000000,0,0,20000,37400,0,1
j=11,124035800008100,124035800000000,0,0,3000,5100,0,1
j=12,606577000042560,606577000000000,0,0,14000,28560,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,32631600002700,32631600000000,0,0,1000,1700,0,1

t=7  
j=0,228000000000,228000000000,0,0,0,0,0,0
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,419574400020280,419574400000000,0,0,6000,14280,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,3488247500342430,3488247500000000,0,0,121000,221430,0,1
j=5,94440000002700,94440000000000,0,0,1000,1700,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,118764000005400,118764000000000,0,0,2000,3400,0,1
j=8,87563000005740,87563000000000,0,0,2000,3740,0,1
j=9,113756500009315,113756500000000,0,0,3450,5865,0,1
j=10,600976600045920,600976600000000,0,0,16000,29920,0,1
j=11,171527000008100,171527000000000,0,0,3000,5100,0,1
j=12,735475000063840,735475000000000,0,0,21000,42840,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,44218800010800,44218800000000,0,0,4000,6800,0,1

t=8  
j=0,228000000000,228000000000,0,0,0,0,0,0
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,501596800030420,501596800000000,0,0,9000,21420,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,4482452300461290,4482452300000000,0,0,163000,298290,0,1
j=5,110760000010800,110760000000000,0,0,4000,6800,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,138852000008100,138852000000000,0,0,3000,5100,0,1
j=8,107093000011480,107093000000000,0,0,4000,7480,0,1
j=9,145151500024840,145151500000000,0,0,9200,15640,0,1
j=10,752407000077490,752407000000000,0,0,27000,50490,0,1
j=11,219018200024300,219018200000000,0,0,9000,15300,0,1
j=12,939889000069920,939889000000000,0,0,23000,46920,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,67052400002700,67052400000000,0,0,1000,1700,0,1

t=9  
j=0,228000000000,228000000000,0,0,0,0,0,0
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,620465200047320,620465200000000,0,0,14000,33320,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,5866133900449970,5866133900000000,0,0,159000,290970,0,1
j=5,142920000010800,142920000000000,0,0,4000,6800,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,163476000018900,163476000000000,0,0,7000,11900,0,1
j=8,135233000014350,135233000000000,0,0,5000,9350,0,1
j=9,213206500012420,213206500000000,0,0,4600,7820,0,1
j=10,967408600086100,967408600000000,0,0,30000,56100,0,1
j=11,320519000035100,320519000000000,0,0,13000,22100,0,1
j=12,1161787000060800,1161787000000000,0,0,20000,40800,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,78639600010800,78639600000000,0,0,4000,6800,0,1

t=10  
j=0,228000000000,228000000000,0,0,0,0,0,0
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,842502400047320,842502400000000,0,0,14000,33320,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,7201330700599960,7201330700000000,0,0,212000,387960,0,1
j=5,175080000016200,175080000000000,0,0,6000,10200,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,220284000013500,220284000000000,0,0,5000,8500,0,1
j=8,172403000017220,172403000000000,0,0,6000,11220,0,1
j=9,248696500027945,248696500000000,0,0,10350,17595,0,1
j=10,1206064600109060,1206064600000000,0,0,38000,71060,0,1
j=11,456707000035100,456707000000000,0,0,13000,22100,0,1
j=12,1354297000100320,1354297000000000,0,0,33000,67320,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,101473200010800,101473200000000,0,0,4000,6800,0,1

t=11  
j=0,647500002700,647500000000,0,0,1000,1700,1200000000000,1
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,1064539600047320,1064539600000000,0,0,14000,33320,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,8947493900636750,8947493900000000,0,0,225000,411750,0,1
j=5,233880000008100,233880000000000,0,0,3000,5100,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,258516000018900,258516000000000,0,0,7000,11900,0,1
j=8,226163000005740,226163000000000,0,0,2000,3740,0,1
j=9,320846500024840,320846500000000,0,0,9200,15640,0,1
j=10,1565315800080360,1565315800000000,0,0,28000,52360,0,1
j=11,582651800048600,582651800000000,0,0,18000,30600,0,1
j=12,1658779000097280,1658779000000000,0,0,32000,65280,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,124306800016200,124306800000000,0,0,6000,10200,0,1

t=12  
j=0,12234700002700,12234700000000,0,0,1000,1700,0,1
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,1286897200074360,1286897200000000,0,0,22000,52360,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,10851188300738630,10851188300000000,0,0,261000,477630,0,1
j=5,272520000018900,272520000000000,0,0,7000,11900,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,315324000032400,315324000000000,0,0,12000,20400,0,1
j=8,254723000020090,254723000000000,0,0,7000,13090,0,1
j=9,388901500049680,388901500000000,0,0,18400,31280,0,1
j=10,1837763800160720,1837763800000000,0,0,56000,104720,0,1
j=11,756087800051300,756087800000000,0,0,19000,32300,0,1
j=12,1949497000115520,1949497000000000,0,0,38000,77520,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,166054800016200,166054800000000,0,0,6000,10200,0,1

t=13  
j=0,23821900002700,23821900000000,0,0,1000,1700,0,1
j=1,346500000000,346500000000,0,0,0,0,0,0
j=2,1660804000064220,1660804000000000,0,0,19000,45220,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,13020394700800890,13020394700000000,0,0,283000,517890,0,1
j=5,347640000032400,347640000000000,0,0,12000,20400,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,438876000051300,438876000000000,0,0,19000,32300,0,1
j=8,322763000034440,322763000000000,0,0,12000,22440,0,1
j=9,525791500037260,525791500000000,0,0,13800,23460,0,1
j=10,2364074200169330,2364074200000000,0,0,59000,110330,0,1
j=11,935809400081000,935809400000000,0,0,30000,51000,0,1
j=12,2288389000139840,2288389000000000,0,0,46000,93840,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,207802800029700,207802800000000,0,0,11000,18700,0,1

t=14  
j=0,35409100002700,35409100000000,0,0,1000,1700,0,1
j=1,820700002970,820700000000,0,0,1100,1870,1205000000000,1
j=2,1975757200081120,1975757200000000,0,0,24000,57120,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,15424565900874470,15424565900000000,0,0,309000,565470,0,1
j=5,483960000016200,483960000000000,0,0,6000,10200,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,652500000032400,652500000000000,0,0,12000,20400,0,1
j=8,445403000014350,445403000000000,0,0,5000,9350,0,1
j=9,628946500052785,628946500000000,0,0,19550,33235,0,1
j=10,2947197400152110,2947197400000000,0,0,53000,99110,0,1
j=11,1234026200062100,1234026200000000,0,0,23000,39100,0,1
j=12,2714329000136800,2714329000000000,0,0,45000,91800,0,1
j=13,281400000000,281400000000,0,0,0,0,0,0
j=14,293002800013500,293002800000000,0,0,5000,8500,0,1

t=15  
j=0,46996300002700,46996300000000,0,0,1000,1700,0,1
j=1,15508700002970,15508700000000,0,0,1100,1870,0,1
j=2,2379781600104780,2379781600000000,0,0,31000,73780,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,18032444300959370,18032444300000000,0,0,339000,620370,0,1
j=5,548760000029700,548760000000000,0,0,11000,18700,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,776052000045900,776052000000000,0,0,17000,28900,0,1
j=8,487823000025830,487823000000000,0,0,9000,16830,0,1
j=9,784166500062100,784166500000000,0,0,23000,39100,0,1
j=10,3470762200218120,3470762200000000,0,0,76000,142120,0,1
j=11,1445408600070200,1445408600000000,0,0,26000,44200,0,1
j=12,3125575000142880,3125575000000000,0,0,47000,95880,0,1
j=13,795900003100,795900000000,0,0,1100,2000,1544000000000,1
j=14,327423600021600,327423600000000,0,0,8000,13600,0,1

t=16  
j=0,58583500005400,58583500000000,0,0,2000,3400,0,1
j=1,30196700002970,30196700000000,0,0,1100,1870,0,1
j=2,2872556800077740,2872556800000000,0,0,23000,54740,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,20988596300928240,20988596300000000,0,0,328000,600240,0,1
j=5,659400000021600,659400000000000,0,0,8000,13600,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,970020000054000,970020000000000,0,0,20000,34000,0,1
j=8,565103000025830,565103000000000,0,0,9000,16830,0,1
j=9,972731500040365,972731500000000,0,0,14950,25415,0,1
j=10,4228336600175070,4228336600000000,0,0,61000,114070,0,1
j=11,1712663000081000,1712663000000000,0,0,30000,51000,0,1
j=12,3575695000158080,3575695000000000,0,0,52000,106080,0,1
j=13,12913500003100,12913500000000,0,0,1100,2000,0,1
j=14,383826000018900,383826000000000,0,0,7000,11900,0,1

t=17  
j=0,74430700002700,74430700000000,0,0,1000,1700,0,1
j=1,44884700002970,44884700000000,0,0,1100,1870,0,1
j=2,3254473600111540,3254473600000000,0,0,33000,78540,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,23728253901126340,23728253900000000,0,0,398000,728340,0,1
j=5,753480000035100,753480000000000,0,0,13000,22100,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,1205028000045900,1205028000000000,0,0,17000,28900,0,1
j=8,639863000045920,639863000000000,0,0,16000,29920,0,1
j=9,1076666500080730,1076666500000000,0,0,29900,50830,0,1
j=10,4801744600232470,4801744600000000,0,0,81000,151470,0,1
j=11,2029969400075600,2029969400000000,0,0,28000,47600,0,1
j=12,4041439000164160,4041439000000000,0,0,54000,110160,0,1
j=13,25031100003100,25031100000000,0,0,1100,2000,0,1
j=14,429834000024300,429834000000000,0,0,9000,15300,0,1

t=18  
j=0,86017900008100,86017900000000,0,0,3000,5100,0,1
j=1,59572700002970,59572700000000,0,0,1100,1870,0,1
j=2,3758783200087880,3758783200000000,0,0,26000,61880,0,1
j=3,136000000000,136000000000,0,0,0,0,0,0
j=4,27113132301024460,27113132300000000,0,0,362000,662460,0,1
j=5,896760000021600,896760000000000,0,0,8000,13600,0,1
j=6,204000000000,204000000000,0,0,0,0,0,0
j=7,1365516000070200,1365516000000000,0,0,26000,44200,0,1
j=8,808073000031570,808073000000000,0,0,11000,20570,0,1
j=9,1317491500065205,1317491500000000,0,0,24150,41055,0,1
