datacenter_AZ_SUS,datacenter_AZ_SUS
obj#,object initialize size,sType,sCost,rCost,wCost,tCost,cCost,nonMCost
t=0  
j=0,3361,0,6722000000000,466200000000000,0,132000,33000,472922000132000
j=0,3361,1,12368400000000,0,0,56100,16500,12368400056100

t=1  
j=0,49981,0,99962000000000,559500000000000,0,160000,40000,659462000160000
j=0,49981,1,183930000000000,0,0,68000,20000,183930000068000

t=2  
j=0,105931,0,211862000000000,585300000000000,0,168000,42000,797162000168000
j=0,105931,1,389826000000000,0,0,71400,21000,389826000071400

t=3  
j=0,164461,0,328922000000000,711300000000000,0,204000,51000,1040222000204000
j=0,164461,1,605216400000000,0,0,86700,25500,605216400086700

t=4  
j=0,235591,0,471182000000000,968100000000000,0,288000,72000,1439282000288000
j=0,235591,1,866974800000000,0,0,122400,36000,866974800122400

t=5  
j=0,332401,0,664802000000000,1167000000000000,0,336000,84000,1831802000336000
j=0,332401,1,1223235600000000,0,0,142800,42000,1223235600142800

t=6  
j=0,449101,0,898202000000000,1401300000000000,0,412000,103000,2299502000412000
j=0,449101,1,1652691600000000,0,0,175100,51500,1652691600175100

t=7  
j=0,589231,0,1178462000000000,1679400000000000,0,484000,121000,2857862000484000
j=0,589231,1,2168370000000000,0,0,205700,60500,2168370000205700

t=8  
j=0,757171,0,1514342000000000,2337300000000000,0,652000,163000,3851642000652000
j=0,757171,1,2786389200000000,0,0,277100,81500,2786389200277100

t=9  
j=0,990901,0,1981802000000000,2255400000000000,0,636000,159000,4237202000636000
j=0,990901,1,3646515600000000,0,0,270300,79500,3646515600270300

t=10  
j=0,1216441,0,2432882000000000,2949600000000000,0,848000,212000,5382482000848000
j=0,1216441,1,4476502800000000,0,0,360400,106000,4476502800360400

t=11  
j=0,1511401,0,3022802000000000,3215700000000000,0,900000,225000,6238502000900000
j=0,1511401,1,5561955600000000,0,0,382500,112500,5561955600382500

t=12  
j=0,1832971,0,3665942000000000,3664200000000000,0,1044000,261000,7330142001044000
j=0,1832971,1,6745333200000000,0,0,443700,130500,6745333200443700

t=13  
j=0,2199391,0,4398782000000000,4061100000000000,0,1132000,283000,8459882001132000
j=0,2199391,1,8093758800000000,0,0,481100,141500,8093758800481100

t=14  
j=0,2605501,0,5211002000000000,4405200000000000,0,1236000,309000,9616202001236000
j=0,2605501,1,9588243600000000,0,0,525300,154500,9588243600525300

t=15  
j=0,3046021,0,6092042000000000,4993500000000000,0,1356000,339000,11085542001356000
