datacenter_AZ_SUS,datacenter_AZ_SUS
obj#,object initialize size,sType,sCost,rCost,wCost,tCost,cCost,nonMCost
t=0  
j=0,177,0,1770000000000,1153200000000000,0,344000,86000,1154970000344000
j=0,177,1,3256800000000,0,0,146200,43000,3256800146200
j=1,256,0,2560000000000,6840600000000000,0,1920000,480000,6843160001920000
j=1,256,1,4710400000000,0,0,816000,240000,4710400816000
j=2,134,0,1340000000000,415500000000000,0,116000,29000,416840000116000
j=2,134,1,2465600000000,0,0,49300,14500,2465600049300
j=3,915,0,9150000000000,9859500000000000,0,2628000,657000,9868650002628000
j=3,915,1,16836000000000,0,0,1116900,328500,16836001116900
j=4,2695,0,26950000000000,13446000000000000,0,3604000,901000,13472950003604000
j=4,2695,1,49588000000000,0,0,1531700,450500,49588001531700
j=5,546,0,5460000000000,5473800000000000,0,1520000,380000,5479260001520000
j=5,546,1,10046400000000,0,0,646000,190000,10046400646000
j=6,1392,0,13920000000000,81480600000000000,0,21812000,5453000,81494520021812000
j=6,1392,1,25612800000000,0,0,9270100,2726500,25612809270100
j=7,2300,0,23000000000000,7734900000000000,0,2028000,507000,7757900002028000
j=7,2300,1,42320000000000,0,0,861900,253500,42320000861900
j=8,816,0,8160000000000,7526100000000000,0,1960000,490000,7534260001960000
j=8,816,1,15014400000000,0,0,833000,245000,15014400833000
j=9,300,0,3000000000000,2697600000000000,0,776000,194000,2700600000776000
j=9,300,1,5520000000000,0,0,329800,97000,5520000329800
j=10,300,0,3000000000000,846900000000000,0,240000,60000,849900000240000
j=10,300,1,5520000000000,0,0,102000,30000,5520000102000
j=11,256,0,2560000000000,3211500000000000,0,900000,225000,3214060000900000
j=11,256,1,4710400000000,0,0,382500,112500,4710400382500
j=12,2022,0,20220000000000,7708500000000000,0,2076000,519000,7728720002076000
j=12,2022,1,37204800000000,0,0,882300,259500,37204800882300
j=13,93,0,930000000000,286800000000000,0,80000,20000,287730000080000
j=13,93,1,1711200000000,0,0,34000,10000,1711200034000
j=14,626,0,6260000000000,3804000000000000,0,1044000,261000,3810260001044000
j=14,626,1,11518400000000,0,0,443700,130500,11518400443700
j=15,516,0,5160000000000,1493700000000000,0,420000,105000,1498860000420000
j=15,516,1,9494400000000,0,0,178500,52500,9494400178500
j=16,1035,0,10350000000000,2731200000000000,0,748000,187000,2741550000748000
j=16,1035,1,19044000000000,0,0,317900,93500,19044000317900
j=17,1717,0,17170000000000,9888300000000000,0,2660000,665000,9905470002660000
j=17,1717,1,31592800000000,0,0,1130500,332500,31592801130500
j=18,3833,0,38330000000000,30676800000000000,0,8252000,2063000,30715130008252000
j=18,3833,1,70527200000000,0,0,3507100,1031500,70527203507100
j=19,4440,0,44400000000000,22600800000000000,0,6032000,1508000,22645200006032000
j=19,4440,1,81696000000000,0,0,2563600,754000,81696002563600
j=20,2318,0,23180000000000,21890100000000000,0,5892000,1473000,21913280005892000
j=20,2318,1,42651200000000,0,0,2504100,736500,42651202504100
j=21,1175,0,11750000000000,24842700000000000,0,6716000,1679000,24854450006716000
j=21,1175,1,21620000000000,0,0,2854300,839500,21620002854300
j=22,626,0,6260000000000,2100600000000000,0,584000,146000,2106860000584000
j=22,626,1,11518400000000,0,0,248200,73000,11518400248200
j=23,1717,0,17170000000000,20908200000000000,0,5520000,1380000,20925370005520000
j=23,1717,1,31592800000000,0,0,2346000,690000,31592802346000
j=24,1754,0,17540000000000,111429600000000000,0,29780000,7445000,111447140029780000
j=24,1754,1,32273600000000,0,0,12656500,3722500,32273612656500
j=25,68,0,680000000000,1619100000000000,0,456000,114000,1619780000456000
j=25,68,1,1251200000000,0,0,193800,57000,1251200193800
j=26,2856,0,28560000000000,10237200000000000,0,2712000,678000,10265760002712000
j=26,2856,1,52550400000000,0,0,1152600,339000,52550401152600
j=27,134,0,1340000000000,604800000000000,0,180000,45000,606140000180000
j=27,134,1,2465600000000,0,0,76500,22500,2465600076500
j=28,93,0,930000000000,502500000000000,0,128000,32000,503430000128000
j=28,93,1,1711200000000,0,0,54400,16000,1711200054400
j=29,1717,0,17170000000000,6079500000000000,0,1572000,393000,6096670001572000
j=29,1717,1,31592800000000,0,0,668100,196500,31592800668100
j=30,1932,0,19320000000000,20073900000000000,0,5384000,1346000,20093220005384000
j=30,1932,1,35548800000000,0,0,2288200,673000,35548802288200
j=31,1246,0,12460000000000,18244200000000000,0,4924000,1231000,18256660004924000
j=31,1246,1,22926400000000,0,0,2092700,615500,22926402092700
j=32,2300,0,23000000000000,11608200000000000,0,3120000,780000,11631200003120000
j=32,2300,1,42320000000000,0,0,1326000,390000,42320001326000
j=33,68,0,680000000000,709200000000000,0,188000,47000,709880000188000
j=33,68,1,1251200000000,0,0,79900,23500,1251200079900
j=34,371,0,3710000000000,1818300000000000,0,532000,133000,1822010000532000
j=34,371,1,6826400000000,0,0,226100,66500,6826400226100
j=35,8358,0,83580000000000,2042608800000000000,0,546136000,136534000,2042692380546136000
j=35,8358,1,153787200000000,0,0,232107800,68267000,153787432107800
j=36,717,0,7170000000000,12631800000000000,0,3384000,846000,12638970003384000
j=36,717,1,13192800000000,0,0,1438200,423000,13192801438200
j=37,1583,0,15830000000000,23108700000000000,0,6184000,1546000,23124530006184000
j=37,1583,1,29127200000000,0,0,2628200,773000,29127202628200
j=38,93,0,930000000000,799500000000000,0,224000,56000,800430000224000
j=38,93,1,1711200000000,0,0,95200,28000,1711200095200
j=39,4859,0,48590000000000,1653552900000000000,0,441932000,110483000,1653601490441932000
j=39,4859,1,89405600000000,0,0,187821100,55241500,89405787821100
j=40,3003,0,30030000000000,75146700000000000,0,19988000,4997000,75176730019988000
j=40,3003,1,55255200000000,0,0,8494900,2498500,55255208494900
j=41,2223,0,22230000000000,1074195600000000000,0,287108000,71777000,1074217830287108000
j=41,2223,1,40903200000000,0,0,122020900,35888500,40903322020900
j=42,516,0,5160000000000,4897800000000000,0,1332000,333000,4902960001332000
j=42,516,1,9494400000000,0,0,566100,166500,9494400566100
j=43,2222,0,22220000000000,21005400000000000,0,5632000,1408000,21027620005632000
j=43,2222,1,40884800000000,0,0,2393600,704000,40884802393600
j=44,114,0,1140000000000,2123700000000000,0,596000,149000,2124840000596000
j=44,114,1,2097600000000,0,0,253300,74500,2097600253300
j=45,2695,0,26950000000000,102264900000000000,0,27188000,6797000,102291850027188000
j=45,2695,1,49588000000000,0,0,11554900,3398500,49588011554900
j=46,1099,0,10990000000000,40788600000000000,0,10968000,2742000,40799590010968000
j=46,1099,1,20221600000000,0,0,4661400,1371000,20221604661400
j=47,300,0,3000000000000,1135800000000000,0,344000,86000,1138800000344000
j=47,300,1,5520000000000,0,0,146200,43000,5520000146200
j=48,717,0,7170000000000,2112300000000000,0,584000,146000,2119470000584000
j=48,717,1,13192800000000,0,0,248200,73000,13192800248200
j=49,1465,0,14650000000000,7524000000000000,0,1992000,498000,7538650001992000
j=49,1465,1,26956000000000,0,0,846600,249000,26956000846600
j=50,693,0,6930000000000,6740400000000000,0,1856000,464000,6747330001856000
j=50,693,1,12751200000000,0,0,788800,232000,12751200788800
j=51,1932,0,19320000000000,7947600000000000,0,2156000,539000,7966920002156000
j=51,1932,1,35548800000000,0,0,916300,269500,35548800916300
j=52,263,0,2630000000000,1110900000000000,0,324000,81000,1113530000324000
j=52,263,1,4839200000000,0,0,137700,40500,4839200137700
j=53,177,0,1770000000000,1042500000000000,0,312000,78000,1044270000312000
j=53,177,1,3256800000000,0,0,132600,39000,3256800132600
j=54,68,0,680000000000,205500000000000,0,56000,14000,206180000056000
j=54,68,1,1251200000000,0,0,23800,7000,1251200023800
j=55,1246,0,12460000000000,3919200000000000,0,1084000,271000,3931660001084000
j=55,1246,1,22926400000000,0,0,460700,135500,22926400460700
j=56,4094,0,40940000000000,50004900000000000,0,13408000,3352000,50045840013408000
j=56,4094,1,75329600000000,0,0,5698400,1676000,75329605698400
j=57,93,0,930000000000,291900000000000,0,88000,22000,292830000088000
j=57,93,1,1711200000000,0,0,37400,11000,1711200037400
j=58,1569,0,15690000000000,4801500000000000,0,1280000,320000,4817190001280000
j=58,1569,1,28869600000000,0,0,544000,160000,28869600544000
j=59,177,0,1770000000000,987900000000000,0,280000,70000,989670000280000
j=59,177,1,3256800000000,0,0,119000,35000,3256800119000
j=60,2232,0,22320000000000,11668200000000000,0,3136000,784000,11690520003136000
j=60,2232,1,41068800000000,0,0,1332800,392000,41068801332800
j=61,1035,0,10350000000000,11601600000000000,0,3112000,778000,11611950003112000
j=61,1035,1,19044000000000,0,0,1322600,389000,19044001322600
j=62,693,0,6930000000000,163304400000000000,0,43852000,10963000,163311330043852000
j=62,693,1,12751200000000,0,0,18637100,5481500,12751218637100
j=63,134,0,1340000000000,2466900000000000,0,692000,173000,2468240000692000
j=63,134,1,2465600000000,0,0,294100,86500,2465600294100
j=64,3269,0,32690000000000,4097726100000000000,0,1092396000,273099000,4097758791092396000
j=64,3269,1,60149600000000,0,0,464268300,136549500,60150064268300
j=65,693,0,6930000000000,63545100000000000,0,16892000,4223000,63552030016892000
j=65,693,1,12751200000000,0,0,7179100,2111500,12751207179100
j=66,114,0,1140000000000,955200000000000,0,276000,69000,956340000276000
j=66,114,1,2097600000000,0,0,117300,34500,2097600117300
j=67,3728,0,37280000000000,47232900000000000,0,12532000,3133000,47270180012532000
j=67,3728,1,68595200000000,0,0,5326100,1566500,68595205326100
j=68,134,0,1340000000000,8186100000000000,0,2276000,569000,8187440002276000
j=68,134,1,2465600000000,0,0,967300,284500,2465600967300
j=69,816,0,8160000000000,23564700000000000,0,6356000,1589000,23572860006356000
j=69,816,1,15014400000000,0,0,2701300,794500,15014402701300
j=70,516,0,5160000000000,1062600000000000,0,304000,76000,1067760000304000
j=70,516,1,9494400000000,0,0,129200,38000,9494400129200
j=71,1246,0,12460000000000,21491400000000000,0,5760000,1440000,21503860005760000
j=71,1246,1,22926400000000,0,0,2448000,720000,22926402448000
j=72,2779,0,27790000000000,8665800000000000,0,2284000,571000,8693590002284000
j=72,2779,1,51133600000000,0,0,970700,285500,51133600970700
j=73,300,0,3000000000000,3702300000000000,0,1004000,251000,3705300001004000
j=73,300,1,5520000000000,0,0,426700,125500,5520000426700
j=74,878,0,8780000000000,4928700000000000,0,1320000,330000,4937480001320000
j=74,878,1,16155200000000,0,0,561000,165000,16155200561000
j=75,371,0,3710000000000,6615300000000000,0,1824000,456000,6619010001824000
j=75,371,1,6826400000000,0,0,775200,228000,6826400775200
j=76,68,0,680000000000,523200000000000,0,124000,31000,523880000124000
j=76,68,1,1251200000000,0,0,52700,15500,1251200052700
j=77,1619,0,16190000000000,5579700000000000,0,1492000,373000,5595890001492000
