datacenter_AZ_SUS,datacenter_AZ_SUS
obj#,object initialize size,sType,sCost,rCost,wCost,tCost,cCost,nonMCost
t=0  
j=0,114,0,228000000000,0,0,0,0,228000000000
j=0,114,1,419500000000,0,0,0,0,419500000000
j=1,114,0,346500000000,0,0,0,0,346500000000
j=1,114,1,474200000000,0,0,0,0,474200000000
j=2,1246,0,5183300000000,40200000000000,0,16000,4000,45383300016000
j=2,1246,1,8123900000000,0,0,9520,2800,8123900009520
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,3361,0,6722000000000,466200000000000,0,132000,33000,472922000132000
j=4,3361,1,13175100000000,0,0,60390,17820,13175100060390
j=5,915,0,2928000000000,0,0,0,0,2928000000000
j=5,915,1,4392000000000,0,0,0,0,4392000000000
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
j=7,1465,0,4688000000000,20400000000000,0,4000,1000,25088000004000
j=7,1465,1,5860000000000,0,0,1700,500,5860000001700
j=8,1619,0,4857000000000,0,0,0,0,4857000000000
j=8,1619,1,6476000000000,0,0,0,0,6476000000000
j=9,2471,0,5683300000000,23460000000000,0,4600,1150,29143300004600
j=9,2471,1,10378200000000,0,0,1955,575,10378200001955
j=10,1246,0,3787800000000,40200000000000,0,16000,4000,43987800016000
j=10,1246,1,4984000000000,0,0,7480,2200,4984000007480
j=11,2994,0,8982000000000,20400000000000,0,4000,1000,29382000004000
j=11,2994,1,14251400000000,0,0,1700,500,14251400001700
j=12,2135,0,4697000000000,90000000000000,0,32000,8000,94697000032000
j=12,2135,1,8540000000000,0,0,16320,4800,8540000016320
j=13,134,0,281400000000,0,0,0,0,281400000000
j=13,134,1,514500000000,0,0,0,0,514500000000
j=14,915,0,1830000000000,0,0,0,0,1830000000000
j=14,915,1,3367200000000,0,0,0,0,3367200000000

t=1  
j=0,114,0,228000000000,0,0,0,0,228000000000
j=0,114,1,419500000000,0,0,0,0,419500000000
j=1,114,0,346500000000,0,0,0,0,346500000000
j=1,114,1,474200000000,0,0,0,0,474200000000
j=2,5266,0,21906500000000,40200000000000,0,16000,4000,62106500016000
j=2,5266,1,34334300000000,0,0,9520,2800,34334300009520
j=3,68,0,136000000000,0,0,0,0,136000000000
j=3,68,1,299200000000,0,0,0,0,299200000000
j=4,49981,0,99962000000000,559500000000000,0,160000,40000,659462000160000
j=4,49981,1,195925500000000,0,0,73200,21600,195925500073200
j=5,915,0,2928000000000,0,0,0,0,2928000000000
j=5,915,1,4392000000000,0,0,0,0,4392000000000
j=6,68,0,204000000000,0,0,0,0,204000000000
j=6,68,1,272000000000,0,0,0,0,272000000000
j=7,3505,0,11216000000000,20400000000000,0,4000,1000,31616000004000
j=7,3505,1,14020000000000,0,0,1700,500,14020000001700
j=8,1619,0,4857000000000,0,0,0,0,4857000000000
j=8,1619,1,6476000000000,0,0,0,0,6476000000000
j=9,4511,0,10375300000000,23460000000000,0,4600,1150,33835300004600
j=9,4511,1,18946200000000,0,0,1955,575,18946200001955
j=10,5266,0,16008600000000,40200000000000,0,16000,4000,56208600016000
j=10,5266,1,21064000000000,0,0,7480,2200,21064000007480
j=11,5034,0,15102000000000,20400000000000,0,4000,1000,35502000004000
j=11,5034,1,23961800000000,0,0,1700,500,23961800001700
j=12,11135,0,24497000000000,111300000000000,0,36000,9000,135797000036000
j=12,11135,1,44540000000000,0,0,18360,5400,44540000018360
j=13,134,0,281400000000,0,0,0,0,281400000000
j=13,134,1,514500000000,0,0,0,0,514500000000
j=14,915,0,1830000000000,0,0,0,0,1830000000000
