UID,UDC,UFN,UTN,DC_1,DC_2,DC_3,DC_4,DC_5,DC_6,DC_7,DC_8,DC_9,DC_10,DC_11,DC_12,DC_13,DC_14,DC_15,DC_16,DC_17,DC_18,DC_19,DC_20,DC_21,DC_22
0,1,888,2,49,49,6,20,11,7,2,5,13,38,63,24,6,40,94,383,4,30,23,0,15,6
1,1,44,204,26,2,0,0,0,0,0,0,0,1,4,0,0,1,10,0,0,0,0,0,0,0
2,1,34,3,16,0,0,0,0,1,1,1,1,0,2,0,1,2,5,4,0,0,0,0,0,0
3,1,12,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,1,151,4,8,11,0,1,2,0,1,1,1,5,12,4,0,4,69,22,0,5,3,0,1,1
5,1,19,24,13,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0
6,1,15,15,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
7,1,24,19,7,2,0,0,1,0,0,0,0,1,11,0,0,0,2,0,0,0,0,0,0,0
8,1,14,1,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9,1,12,31,5,1,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
10,1,112,99,9,5,0,1,1,3,0,0,0,0,75,0,1,2,9,5,0,0,0,1,0,0
11,1,14,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,39,9,4,1,0,0,0,0,1,0,0,2,3,0,0,3,2,22,0,0,1,0,0,0
13,1,30,1,2,2,0,0,1,0,0,0,0,0,0,0,0,2,6,17,0,0,0,0,0,0
14,1,15,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,11,0,0,0,0,0,0
15,1,39,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,15,15,1,0,0,0,0,0,0,0,0,0,1,3,0,0,10,0,0,0,0,0,0,0
17,1,276,22,22,14,1,5,2,5,0,5,3,13,21,5,0,23,98,27,0,12,10,2,2,6
18,1,13,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,44,4,18,2,0,1,0,0,0,0,0,2,4,2,0,3,4,7,0,1,0,0,0,0
20,1,54,2,29,2,0,0,0,0,0,0,0,1,5,1,0,2,9,5,0,0,0,0,0,0
21,1,26,9,2,4,0,0,0,0,0,0,0,1,3,1,0,2,10,2,0,0,0,1,0,0
